2025-05-29 03:54:40.518 +06:00 [INF] Starting MyApp...
2025-05-29 03:54:48.483 +06:00 [WRN] Failed to determine the https port for redirect.
2025-05-29 04:03:44.462 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.1297 ms
2025-05-29 04:03:44.470 +06:00 [INF] HTTP GET /.well-known/appspecific/com.chrome.devtools.json responded 404 in 0.1473 ms
2025-05-29 04:03:45.148 +06:00 [INF] HTTP GET /favicon.ico responded 404 in 0.1308 ms
2025-05-29 04:08:22.012 +06:00 [INF] HTTP GET /Products/Index responded 200 in 6.9460 ms
2025-05-29 04:08:22.167 +06:00 [INF] HTTP GET /Products/Index responded 200 in 156.9749 ms
2025-05-29 04:08:22.195 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.3343 ms
2025-05-29 04:08:22.206 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.0842 ms
2025-05-29 04:08:57.864 +06:00 [INF] HTTP GET /Products/Index responded 200 in 6.4434 ms
2025-05-29 04:08:57.869 +06:00 [INF] HTTP GET /Products/Index responded 200 in 5.6058 ms
2025-05-29 04:08:57.886 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.0739 ms
2025-05-29 04:08:57.892 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.0920 ms
2025-05-29 04:09:02.820 +06:00 [INF] HTTP GET /Products/Index responded 200 in 6.6695 ms
2025-05-29 04:09:02.827 +06:00 [INF] HTTP GET /Products/Index responded 200 in 7.3263 ms
2025-05-29 04:09:02.844 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.0817 ms
2025-05-29 04:09:02.849 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.2042 ms
2025-05-29 04:09:27.160 +06:00 [INF] HTTP GET /Products/Index responded 200 in 5.3151 ms
2025-05-29 04:09:27.171 +06:00 [INF] HTTP GET /Products/Index responded 200 in 6.5707 ms
2025-05-29 04:09:27.198 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.1412 ms
2025-05-29 04:09:27.205 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.2914 ms
2025-05-29 04:09:31.463 +06:00 [INF] HTTP GET /Products/Index responded 200 in 4.8495 ms
2025-05-29 04:09:31.480 +06:00 [INF] HTTP GET /Products/Index responded 200 in 12.1721 ms
2025-05-29 04:09:31.498 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.0725 ms
2025-05-29 04:09:31.503 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.0665 ms
2025-05-29 04:09:33.882 +06:00 [INF] HTTP GET /Products/Index responded 200 in 3.5674 ms
2025-05-29 04:09:33.891 +06:00 [INF] HTTP GET /Products/Index responded 200 in 6.0821 ms
2025-05-29 04:09:33.908 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.0759 ms
2025-05-29 04:09:33.919 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.0985 ms
2025-05-29 04:09:50.246 +06:00 [INF] HTTP GET /Products/Index responded 200 in 3.5013 ms
2025-05-29 04:09:50.255 +06:00 [INF] HTTP GET /Products/Index responded 200 in 5.2416 ms
2025-05-29 04:09:50.274 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.0622 ms
2025-05-29 04:09:50.285 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.1121 ms
2025-05-29 04:09:54.282 +06:00 [INF] HTTP GET /Products/Index responded 200 in 4.2792 ms
2025-05-29 04:09:54.292 +06:00 [INF] HTTP GET /Products/Index responded 200 in 4.8309 ms
2025-05-29 04:09:54.314 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.0977 ms
2025-05-29 04:09:54.319 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.4144 ms
2025-05-29 04:09:56.453 +06:00 [INF] HTTP GET /Products/Index responded 200 in 4.9758 ms
2025-05-29 04:09:56.468 +06:00 [INF] HTTP GET /Products/Index responded 200 in 9.4256 ms
2025-05-29 04:09:56.497 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.0618 ms
2025-05-29 04:09:56.500 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.0551 ms
2025-05-29 04:10:18.113 +06:00 [INF] HTTP GET /Products/Index responded 200 in 8.6381 ms
2025-05-29 04:10:18.118 +06:00 [INF] HTTP GET /Products/Index responded 200 in 6.2618 ms
2025-05-29 04:10:18.137 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.4101 ms
2025-05-29 04:10:18.143 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.0712 ms
2025-05-29 04:10:21.374 +06:00 [INF] HTTP GET /Products/Index responded 200 in 9.0946 ms
2025-05-29 04:10:21.382 +06:00 [INF] HTTP GET /Products/Index responded 200 in 4.6085 ms
2025-05-29 04:10:21.409 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.0648 ms
2025-05-29 04:10:21.422 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.1395 ms
2025-05-29 04:10:24.226 +06:00 [INF] HTTP GET /Products/Index responded 200 in 7.8202 ms
2025-05-29 04:10:24.234 +06:00 [INF] HTTP GET /Products/Index responded 200 in 6.5865 ms
2025-05-29 04:10:24.261 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.0765 ms
2025-05-29 04:10:24.280 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.0812 ms
2025-05-29 04:10:26.628 +06:00 [INF] HTTP GET /Products/Index responded 200 in 6.8745 ms
2025-05-29 04:10:26.633 +06:00 [INF] HTTP GET /Products/Index responded 200 in 4.1047 ms
2025-05-29 04:10:26.650 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.0533 ms
2025-05-29 04:10:26.654 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.0545 ms
2025-05-29 04:10:41.949 +06:00 [INF] HTTP GET /Products/Index responded 200 in 8.5866 ms
2025-05-29 04:10:41.960 +06:00 [INF] HTTP GET /Products/Index responded 200 in 5.3164 ms
2025-05-29 04:10:41.980 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.0425 ms
2025-05-29 04:10:41.989 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.0483 ms
2025-05-29 04:10:44.844 +06:00 [INF] HTTP GET /Products/Index responded 200 in 2.9485 ms
2025-05-29 04:10:44.850 +06:00 [INF] HTTP GET /Products/Index responded 200 in 3.3361 ms
2025-05-29 04:10:44.867 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.0583 ms
2025-05-29 04:10:44.872 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.0552 ms
2025-05-29 04:11:11.021 +06:00 [INF] HTTP GET /Products/Index responded 200 in 7.2697 ms
2025-05-29 04:11:11.031 +06:00 [INF] HTTP GET /Products/Index responded 200 in 4.1541 ms
2025-05-29 04:11:11.050 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.1174 ms
2025-05-29 04:11:11.060 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.0696 ms
2025-05-29 04:11:16.105 +06:00 [INF] HTTP GET /Products/Index responded 200 in 7.6462 ms
2025-05-29 04:11:16.124 +06:00 [INF] HTTP GET /Products/Index responded 200 in 7.4384 ms
2025-05-29 04:11:16.148 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.0608 ms
2025-05-29 04:11:16.152 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.0941 ms
2025-05-29 04:11:19.322 +06:00 [INF] HTTP GET /Products/Index responded 200 in 3.1592 ms
2025-05-29 04:11:19.329 +06:00 [INF] HTTP GET /Products/Index responded 200 in 3.7617 ms
2025-05-29 04:11:19.342 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.0704 ms
2025-05-29 04:11:19.346 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.0350 ms
2025-05-29 04:11:21.871 +06:00 [INF] HTTP GET /Products/Index responded 200 in 2.5297 ms
2025-05-29 04:11:21.879 +06:00 [INF] HTTP GET /Products/Index responded 200 in 4.9211 ms
2025-05-29 04:11:21.893 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.0993 ms
2025-05-29 04:11:21.896 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.1019 ms
2025-05-29 04:11:24.366 +06:00 [INF] HTTP GET /Products/Index responded 200 in 2.9994 ms
2025-05-29 04:11:24.385 +06:00 [INF] HTTP GET /Products/Index responded 200 in 3.4369 ms
2025-05-29 04:11:24.399 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.0518 ms
2025-05-29 04:11:24.406 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.0459 ms
2025-05-29 04:11:28.653 +06:00 [INF] HTTP GET /Products/Index responded 200 in 3.6595 ms
2025-05-29 04:11:28.663 +06:00 [INF] HTTP GET /Products/Index responded 200 in 5.1526 ms
2025-05-29 04:11:28.678 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.0612 ms
2025-05-29 04:11:28.683 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.0515 ms
2025-05-29 04:11:31.134 +06:00 [INF] HTTP GET /Products/Index responded 200 in 2.4311 ms
2025-05-29 04:11:31.140 +06:00 [INF] HTTP GET /Products/Index responded 200 in 3.3870 ms
2025-05-29 04:11:31.155 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.1469 ms
2025-05-29 04:11:31.158 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.0456 ms
2025-05-29 04:14:45.069 +06:00 [INF] HTTP GET /Products/Index responded 200 in 75.7406 ms
2025-05-29 04:14:45.089 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.0493 ms
2025-05-29 04:14:45.099 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.3204 ms
2025-05-29 04:14:48.319 +06:00 [INF] HTTP GET /Products/Index responded 200 in 31.0337 ms
2025-05-29 04:14:48.326 +06:00 [INF] HTTP GET /Products/Index responded 200 in 19.4312 ms
2025-05-29 04:14:48.344 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.0596 ms
2025-05-29 04:14:48.345 +06:00 [INF] HTTP GET /js/.main.js responded 404 in 0.0520 ms
2025-05-29 04:14:48.346 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.0725 ms
2025-05-29 04:14:52.955 +06:00 [INF] HTTP GET /Products/Index responded 200 in 28.3936 ms
2025-05-29 04:14:52.978 +06:00 [INF] HTTP GET /Products/Index responded 200 in 22.4659 ms
2025-05-29 04:14:52.998 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.0638 ms
2025-05-29 04:14:52.999 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.0501 ms
2025-05-29 04:14:53.000 +06:00 [INF] HTTP GET /js/.main.js responded 404 in 0.1387 ms
2025-05-29 04:14:55.355 +06:00 [INF] HTTP GET /Products/Index responded 200 in 7.2929 ms
2025-05-29 04:14:55.367 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.0837 ms
2025-05-29 04:14:55.372 +06:00 [INF] HTTP GET /js/.main.js responded 404 in 0.0480 ms
2025-05-29 04:14:55.372 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.0267 ms
2025-05-29 04:15:02.990 +06:00 [INF] HTTP GET /Products/Index responded 200 in 16.4300 ms
2025-05-29 04:15:03.012 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.0287 ms
2025-05-29 04:15:03.017 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.0684 ms
2025-05-29 04:15:03.107 +06:00 [INF] HTTP GET /js/home.utilities.js responded 404 in 0.0368 ms
2025-05-29 04:15:03.107 +06:00 [INF] HTTP GET /js/home.products.js responded 404 in 0.0368 ms
2025-05-29 04:15:03.107 +06:00 [INF] HTTP GET /js/home.modal.js responded 404 in 0.0369 ms
2025-05-29 04:15:03.108 +06:00 [INF] HTTP GET /js/home.cart.js responded 404 in 0.0199 ms
2025-05-29 04:15:06.702 +06:00 [INF] HTTP GET /Products/Index responded 200 in 5.5815 ms
2025-05-29 04:15:06.733 +06:00 [INF] HTTP GET /css/home.css responded 404 in 0.0517 ms
2025-05-29 04:15:06.734 +06:00 [INF] HTTP GET /images/placeholder.png responded 404 in 0.0891 ms
2025-05-29 04:15:06.756 +06:00 [INF] HTTP GET /js/home.products.js responded 404 in 0.0882 ms
2025-05-29 04:15:06.759 +06:00 [INF] HTTP GET /js/home.cart.js responded 404 in 0.0656 ms
2025-05-29 04:15:06.759 +06:00 [INF] HTTP GET /js/home.utilities.js responded 404 in 0.0189 ms
2025-05-29 04:15:06.760 +06:00 [INF] HTTP GET /js/home.modal.js responded 404 in 0.0729 ms
2025-05-29 04:15:07.084 +06:00 [INF] HTTP GET /favicon.ico responded 404 in 0.1447 ms
2025-05-29 04:15:36 [Information] Starting MyApp...
2025-05-29 04:15:37 [Warning] Failed to determine the https port for redirect.
2025-05-29 04:15:37 [Information] HTTP "GET" "/Products/Index" responded 200 in 547.6607 ms
2025-05-29 04:15:38 [Information] HTTP "GET" "/images/placeholder.png" responded 404 in 1.9380 ms
2025-05-29 04:15:38 [Information] HTTP "GET" "/css/home.css" responded 404 in 1.9387 ms
2025-05-29 04:15:38 [Information] HTTP "GET" "/js/home.products.js" responded 404 in 4.6042 ms
2025-05-29 04:15:38 [Information] HTTP "GET" "/js/home.utilities.js" responded 404 in 0.0891 ms
2025-05-29 04:15:38 [Information] HTTP "GET" "/js/home.cart.js" responded 404 in 4.6043 ms
2025-05-29 04:15:38 [Information] HTTP "GET" "/js/home.modal.js" responded 404 in 0.2833 ms
2025-05-29 04:16:15 [Information] HTTP "GET" "/Products/Index" responded 200 in 113.2967 ms
2025-05-29 04:16:15 [Information] HTTP "GET" "/css/home.css" responded 404 in 0.2453 ms
2025-05-29 04:16:15 [Information] HTTP "GET" "/images/placeholder.png" responded 404 in 0.1801 ms
2025-05-29 04:16:15 [Information] HTTP "GET" "/js/home.products.js" responded 404 in 0.1992 ms
2025-05-29 04:16:15 [Information] HTTP "GET" "/js/home.utilities.js" responded 404 in 0.1476 ms
2025-05-29 04:16:15 [Information] HTTP "GET" "/js/home.cart.js" responded 404 in 0.1462 ms
2025-05-29 04:16:15 [Information] HTTP "GET" "/js/home.modal.js" responded 404 in 0.1150 ms
2025-05-29 04:16:15 [Information] HTTP "GET" "/favicon.ico" responded 404 in 0.1214 ms
2025-05-29 04:16:16 [Information] HTTP "GET" "/Products/Index" responded 200 in 10.9707 ms
2025-05-29 04:16:16 [Information] HTTP "GET" "/css/home.css" responded 404 in 0.1016 ms
2025-05-29 04:16:16 [Information] HTTP "GET" "/images/placeholder.png" responded 404 in 0.1125 ms
2025-05-29 04:16:16 [Information] HTTP "GET" "/js/home.cart.js" responded 404 in 0.0853 ms
2025-05-29 04:16:16 [Information] HTTP "GET" "/js/home.products.js" responded 404 in 0.1066 ms
2025-05-29 04:16:16 [Information] HTTP "GET" "/js/home.utilities.js" responded 404 in 0.0711 ms
2025-05-29 04:16:16 [Information] HTTP "GET" "/js/home.modal.js" responded 404 in 0.0881 ms
2025-05-29 04:16:17 [Information] HTTP "GET" "/Products/Index" responded 200 in 35.7589 ms
2025-05-29 04:16:17 [Information] HTTP "GET" "/css/home.css" responded 404 in 0.3394 ms
2025-05-29 04:16:17 [Information] HTTP "GET" "/images/placeholder.png" responded 404 in 0.1579 ms
2025-05-29 04:16:17 [Information] HTTP "GET" "/favicon.ico" responded 404 in 0.2944 ms
2025-05-29 04:16:17 [Information] HTTP "GET" "/Products/Index" responded 200 in 125.7722 ms
2025-05-29 04:16:18 [Information] HTTP "GET" "/api/Carts" responded 200 in 177.1274 ms
2025-05-29 04:16:27 [Information] HTTP "POST" "/api/Carts" responded 201 in 288.4464 ms
2025-05-29 04:16:32 [Information] HTTP "POST" "/api/Carts" responded 400 in 8.7567 ms
2025-05-29 04:16:35 [Information] HTTP "POST" "/api/Carts" responded 400 in 2.7769 ms
2025-05-29 04:16:39 [Information] HTTP "POST" "/api/Carts" responded 400 in 3.2979 ms
2025-05-29 04:21:05 [Information] HTTP "GET" "/Products/Index" responded 200 in 92.7186 ms
2025-05-29 04:21:05 [Information] HTTP "GET" "/Products/Index" responded 200 in 97.7853 ms
2025-05-29 04:21:05 [Information] HTTP "GET" "/css/home.css" responded 404 in 0.1355 ms
2025-05-29 04:21:05 [Information] HTTP "GET" "/images/placeholder.png" responded 404 in 0.2033 ms
2025-05-29 04:21:05 [Information] HTTP "GET" "/Products/Index" responded 200 in 6.9517 ms
2025-05-29 04:21:05 [Information] HTTP "GET" "/api/Carts" responded 200 in 7.9575 ms
2025-05-29 04:21:23 [Information] HTTP "GET" "/Products/Index" responded 200 in 7.3694 ms
2025-05-29 04:21:23 [Information] HTTP "GET" "/Products/Index" responded 200 in 5.1636 ms
2025-05-29 04:21:23 [Information] HTTP "GET" "/css/home.css" responded 404 in 0.0852 ms
2025-05-29 04:21:23 [Information] HTTP "GET" "/images/placeholder.png" responded 404 in 0.0693 ms
2025-05-29 04:21:23 [Information] HTTP "GET" "/api/Carts" responded 200 in 2.7850 ms
2025-05-29 04:21:23 [Information] HTTP "GET" "/Products/Index" responded 200 in 4.7978 ms
2025-05-29 04:21:27 [Information] HTTP "GET" "/Products/Index" responded 200 in 4.6777 ms
2025-05-29 04:21:27 [Information] HTTP "GET" "/Products/Index" responded 200 in 3.4133 ms
2025-05-29 04:21:27 [Information] HTTP "GET" "/css/home.css" responded 404 in 0.0816 ms
2025-05-29 04:21:27 [Information] HTTP "GET" "/images/placeholder.png" responded 404 in 0.0620 ms
2025-05-29 04:21:27 [Information] HTTP "GET" "/Products/Index" responded 200 in 3.2664 ms
2025-05-29 04:21:27 [Information] HTTP "GET" "/api/Carts" responded 200 in 4.8029 ms
2025-05-29 04:21:49 [Information] HTTP "GET" "/Products/Index" responded 200 in 4.4675 ms
2025-05-29 04:21:49 [Information] HTTP "GET" "/Products/Index" responded 200 in 4.3458 ms
2025-05-29 04:21:49 [Information] HTTP "GET" "/css/home.css" responded 404 in 0.0841 ms
2025-05-29 04:21:49 [Information] HTTP "GET" "/images/placeholder.png" responded 404 in 0.0683 ms
2025-05-29 04:21:49 [Information] HTTP "GET" "/api/Carts" responded 200 in 2.9674 ms
2025-05-29 04:21:49 [Information] HTTP "GET" "/Products/Index" responded 200 in 10.3383 ms
2025-05-29 04:21:53 [Information] HTTP "GET" "/Products/Index" responded 200 in 4.8074 ms
2025-05-29 04:21:53 [Information] HTTP "GET" "/Products/Index" responded 200 in 4.4879 ms
2025-05-29 04:21:53 [Information] HTTP "GET" "/css/home.css" responded 404 in 0.0868 ms
2025-05-29 04:21:53 [Information] HTTP "GET" "/images/placeholder.png" responded 404 in 0.1141 ms
2025-05-29 04:21:53 [Information] HTTP "GET" "/api/Carts" responded 200 in 2.0424 ms
2025-05-29 04:21:53 [Information] HTTP "GET" "/Products/Index" responded 200 in 4.1043 ms
2025-05-29 04:21:56 [Information] HTTP "GET" "/Products/Index" responded 200 in 5.4435 ms
2025-05-29 04:21:56 [Information] HTTP "GET" "/Products/Index" responded 200 in 3.6706 ms
2025-05-29 04:21:56 [Information] HTTP "GET" "/css/home.css" responded 404 in 0.0745 ms
2025-05-29 04:21:56 [Information] HTTP "GET" "/images/placeholder.png" responded 404 in 0.1245 ms
2025-05-29 04:21:56 [Information] HTTP "GET" "/api/Carts" responded 200 in 6.7872 ms
2025-05-29 04:21:56 [Information] HTTP "GET" "/Products/Index" responded 200 in 8.5719 ms
2025-05-29 04:22:11 [Information] HTTP "GET" "/Products/Index" responded 200 in 11.0063 ms
2025-05-29 04:22:11 [Information] HTTP "GET" "/Products/Index" responded 200 in 16.6897 ms
2025-05-29 04:22:11 [Information] HTTP "GET" "/css/home.css" responded 404 in 2.1267 ms
2025-05-29 04:22:11 [Information] HTTP "GET" "/images/placeholder.png" responded 404 in 0.1029 ms
2025-05-29 04:22:11 [Information] HTTP "GET" "/api/Carts" responded 200 in 4.8499 ms
2025-05-29 04:22:11 [Information] HTTP "GET" "/Products/Index" responded 200 in 7.1736 ms
2025-05-29 04:22:14 [Information] HTTP "GET" "/Products/Index" responded 200 in 5.3960 ms
2025-05-29 04:22:14 [Information] HTTP "GET" "/Products/Index" responded 200 in 4.5011 ms
2025-05-29 04:22:14 [Information] HTTP "GET" "/css/home.css" responded 404 in 0.0641 ms
2025-05-29 04:22:14 [Information] HTTP "GET" "/images/placeholder.png" responded 404 in 0.0485 ms
2025-05-29 04:22:14 [Information] HTTP "GET" "/api/Carts" responded 200 in 2.1939 ms
2025-05-29 04:22:14 [Information] HTTP "GET" "/Products/Index" responded 200 in 5.0134 ms
2025-05-29 04:22:17 [Information] HTTP "GET" "/Products/Index" responded 200 in 7.3231 ms
2025-05-29 04:22:17 [Information] HTTP "GET" "/Products/Index" responded 200 in 7.9063 ms
2025-05-29 04:22:18 [Information] HTTP "GET" "/css/home.css" responded 404 in 0.0791 ms
2025-05-29 04:22:18 [Information] HTTP "GET" "/images/placeholder.png" responded 404 in 0.0393 ms
2025-05-29 04:22:18 [Information] HTTP "GET" "/Products/Index" responded 200 in 8.6732 ms
2025-05-29 04:22:18 [Information] HTTP "GET" "/api/Carts" responded 200 in 14.8386 ms
2025-05-29 04:22:40 [Information] HTTP "GET" "/Products/Index" responded 200 in 29.5354 ms
2025-05-29 04:22:40 [Information] HTTP "GET" "/Products/Index" responded 200 in 8.0901 ms
2025-05-29 04:22:40 [Information] HTTP "GET" "/css/home.css" responded 404 in 0.0653 ms
2025-05-29 04:22:40 [Information] HTTP "GET" "/images/placeholder.png" responded 404 in 0.0819 ms
2025-05-29 04:22:40 [Information] HTTP "GET" "/api/Carts" responded 200 in 3.0515 ms
2025-05-29 04:22:40 [Information] HTTP "GET" "/Products/Index" responded 200 in 5.4220 ms
2025-05-29 04:22:43 [Information] HTTP "GET" "/Products/Index" responded 200 in 5.7371 ms
2025-05-29 04:22:43 [Information] HTTP "GET" "/Products/Index" responded 200 in 7.9610 ms
2025-05-29 04:22:43 [Information] HTTP "GET" "/css/home.css" responded 404 in 0.0886 ms
2025-05-29 04:22:43 [Information] HTTP "GET" "/images/placeholder.png" responded 404 in 0.0749 ms
2025-05-29 04:22:43 [Information] HTTP "GET" "/api/Carts" responded 200 in 5.0687 ms
2025-05-29 04:22:43 [Information] HTTP "GET" "/Products/Index" responded 200 in 9.4447 ms
2025-05-29 04:22:45 [Information] HTTP "GET" "/Products/Index" responded 200 in 3.3244 ms
2025-05-29 04:22:45 [Information] HTTP "GET" "/Products/Index" responded 200 in 3.7039 ms
2025-05-29 04:22:45 [Information] HTTP "GET" "/css/home.css" responded 404 in 0.1787 ms
2025-05-29 04:22:45 [Information] HTTP "GET" "/images/placeholder.png" responded 404 in 0.1032 ms
2025-05-29 04:22:45 [Information] HTTP "GET" "/api/Carts" responded 200 in 2.9031 ms
2025-05-29 04:22:45 [Information] HTTP "GET" "/Products/Index" responded 200 in 5.2446 ms
2025-05-29 04:22:47 [Information] HTTP "GET" "/Products/Index" responded 200 in 5.4647 ms
2025-05-29 04:22:47 [Information] HTTP "GET" "/Products/Index" responded 200 in 8.6365 ms
2025-05-29 04:22:47 [Information] HTTP "GET" "/css/home.css" responded 404 in 0.0677 ms
2025-05-29 04:22:47 [Information] HTTP "GET" "/images/placeholder.png" responded 404 in 0.0734 ms
2025-05-29 04:22:47 [Information] HTTP "GET" "/api/Carts" responded 200 in 2.6356 ms
2025-05-29 04:22:47 [Information] HTTP "GET" "/Products/Index" responded 200 in 6.2051 ms
2025-05-29 04:23:14 [Information] HTTP "GET" "/Products/Index" responded 200 in 4.7034 ms
2025-05-29 04:23:14 [Information] HTTP "GET" "/css/home.css" responded 404 in 0.0788 ms
2025-05-29 04:23:14 [Information] HTTP "GET" "/images/placeholder.png" responded 404 in 0.0574 ms
2025-05-29 04:23:14 [Information] HTTP "GET" "/api/Carts" responded 200 in 2.2988 ms
2025-05-29 04:23:14 [Information] HTTP "GET" "/Products/Index" responded 200 in 3.7094 ms
2025-05-29 04:23:20 [Information] HTTP "GET" "/Products/Index" responded 200 in 4.2160 ms
2025-05-29 04:23:20 [Information] HTTP "GET" "/Products/Index" responded 200 in 3.4838 ms
2025-05-29 04:23:20 [Information] HTTP "GET" "/css/home.css" responded 404 in 0.0592 ms
2025-05-29 04:23:20 [Information] HTTP "GET" "/images/placeholder.png" responded 404 in 0.0434 ms
2025-05-29 04:23:20 [Information] HTTP "GET" "/api/Carts" responded 200 in 2.1663 ms
